fecha;pais_orig;mun_dest;turistas
2020-08-01;Ucrania;Torrevieja;146
2020-08-01;Letonia;Torrevieja;45
2020-08-01;Estonia;Torrevieja;100
2020-08-01;Lituania;Torrevieja;72
2020-08-01;República Checa;Torrevieja;138
2020-08-01;Rusia;Torrevieja;376
2020-08-01;Argelia;Torrevieja;49
2020-08-01;Marruecos;Torrevieja;82
2020-08-01;EE.UU.;Torrevieja;78
2020-08-01;Colombia;Torrevieja;47
2020-08-01;China;Torrevieja;43
2020-09-01;Total;Torrevieja;12932
2020-09-01;Total Europa;Torrevieja;12615
2020-09-01;Total Unión Europea;Torrevieja;9039
2020-09-01;Total África;Torrevieja;104
2020-09-01;Total América;Torrevieja;118
2020-09-01;Total América del Norte;Torrevieja;55
2020-09-01;Total Sudamérica;Torrevieja;59
2020-09-01;Total Asia;Torrevieja;93
2020-09-01;Austria;Torrevieja;41
2020-09-01;Bélgica;Torrevieja;1777
2020-09-01;Bulgaria;Torrevieja;56
2020-09-01;Dinamarca;Torrevieja;144
2020-09-01;Finlandia;Torrevieja;200
2020-09-01;Francia;Torrevieja;1381
2020-09-01;Hungria;Torrevieja;38
2020-09-01;Irlanda;Torrevieja;258
2020-09-01;Islandia;Torrevieja;69
2020-09-01;Italia;Torrevieja;142
2020-09-01;Luxemburgo;Torrevieja;58
2020-09-01;Noruega;Torrevieja;363
2020-09-01;Países Bajos;Torrevieja;400
2020-09-01;Polonia;Torrevieja;336
2020-09-01;Portugal;Torrevieja;57
2020-09-01;Reino Unido;Torrevieja;2557
2020-09-01;Alemania;Torrevieja;1269
2020-09-01;Rumania;Torrevieja;54
2020-09-01;Suecia;Torrevieja;2573
2020-09-01;Suiza;Torrevieja;102
2020-09-01;Ucrania;Torrevieja;98
2020-09-01;Letonia;Torrevieja;32
2020-09-01;Estonia;Torrevieja;64
2020-09-01;Lituania;Torrevieja;46
2020-09-01;República Checa;Torrevieja;96
2020-09-01;Rusia;Torrevieja;375
2020-09-01;Marruecos;Torrevieja;63
2020-09-01;EE.UU.;Torrevieja;53
2020-09-01;Colombia;Torrevieja;39
2020-09-01;China;Torrevieja;36
2020-10-01;Total;Torrevieja;13216
2020-10-01;Total Europa;Torrevieja;12922
2020-10-01;Total Unión Europea;Torrevieja;9663
2020-10-01;Total África;Torrevieja;83
2020-10-01;Total América;Torrevieja;100
2020-10-01;Total América del Norte;Torrevieja;56
2020-10-01;Total Sudamérica;Torrevieja;43
2020-10-01;Total Asia;Torrevieja;110
2020-10-01;Austria;Torrevieja;36
2020-10-01;Bélgica;Torrevieja;1327
2020-10-01;Bulgaria;Torrevieja;49
2020-10-01;Dinamarca;Torrevieja;216
2020-10-01;Finlandia;Torrevieja;275
2020-10-01;Francia;Torrevieja;1222
2020-10-01;Irlanda;Torrevieja;245
2020-10-01;Islandia;Torrevieja;102
2020-10-01;Italia;Torrevieja;106
2020-10-01;Luxemburgo;Torrevieja;52
2020-10-01;Noruega;Torrevieja;517
2020-10-01;Países Bajos;Torrevieja;479
2020-10-01;Polonia;Torrevieja;427
2020-10-01;Reino Unido;Torrevieja;2022
2020-10-01;Alemania;Torrevieja;1048
2020-10-01;Rumania;Torrevieja;64
2020-10-01;Suecia;Torrevieja;3812
2020-10-01;Suiza;Torrevieja;85
2020-10-01;Ucrania;Torrevieja;126
2020-10-01;Letonia;Torrevieja;47
2020-10-01;Estonia;Torrevieja;73
2020-10-01;Lituania;Torrevieja;77
2020-10-01;República Checa;Torrevieja;50
2020-10-01;Rusia;Torrevieja;379
2020-10-01;Marruecos;Torrevieja;56
2020-10-01;EE.UU.;Torrevieja;54
2020-10-01;China;Torrevieja;45
2020-10-01;Kazajstan;Torrevieja;35
2020-11-01;Total;Torrevieja;9550
2020-11-01;Total Europa;Torrevieja;9253
2020-11-01;Total Unión Europea;Torrevieja;6757
2020-11-01;Total África;Torrevieja;101
2020-11-01;Total América;Torrevieja;111
2020-11-01;Total América del Norte;Torrevieja;67
2020-11-01;Total Sudamérica;Torrevieja;41
2020-11-01;Total Asia;Torrevieja;83
2020-11-01;Austria;Torrevieja;35
